departure_time,arrival_time,company,duration,stops,price,price_type,flight_link,departure_airport,arrival_airport,duration_in_mins,features
6:30 AM,7:30 PM,United,10 hr,1 stop,491,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport,0.0,1 stop United
6:30 AM,6:28 PM,United,8 hr 58 min,1 stop,491,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport,538.0,1 stop United
5:08 PM,5:23 AM+1,United,9 hr 15 min,1 stop,491,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport,555.0,1 stop United
6:30 AM,8:56 PM,United,11 hr 26 min,1 stop,491,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport,686.0,1 stop United
11:59 PM,10:20 AM+1,United,7 hr 21 min,1 stop,498,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport,441.0,1 stop United
